Unnamed: 0,product name,description,price,ratings,image
0,Triumph Speed 400,398.15 cc|,0.0,4.7/5,https://imgd.aeplcdn.com/227x128/n/cw/ec/187417/speed-400-2024-right-side-view.jpeg?isig=0&q=80
1,Triumph Speed T4,30 kmpl|,0.0,4.6/5,https://imgd.aeplcdn.com/227x128/n/cw/ec/187411/speed-t4-right-side-view-12.jpeg?isig=0&q=80
2,Triumph Scrambler 400 X,39.5 bhp|,0.0,4.8/5,https://imgd.aeplcdn.com/227x128/n/cw/ec/138933/scrambler-400-right-side-view-6.png?isig=0&q=80
3,Triumph Rocket 3,176 kg,0.0,4.7/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
4,Triumph Street Triple RS,398.15 cc|,0.0,4.6/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
5,Triumph Daytona 660,29 kmpl|,0.0,4.3/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
6,Triumph Trident 660,30.6 bhp|,0.0,4.9/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
7,Triumph Street Triple R,180 kg,0.0,4.9/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
8,Triumph Bonneville Bobber,398.15 cc|,0.0,4.4/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
9,Triumph Tiger 900,28 kmpl|,0.0,5/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
10,Triumph Speed Twin 900,39.5 bhp|,0.0,4/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
11,Triumph Speed Triple 1200 RS,185 kg,0.0,5/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
12,Triumph Bonneville T120,2458 cc|,0.0,4.9/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
13,Triumph Scrambler 900,15 kmpl|,0.0,4.8/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
14,Triumph Tiger 1200,165 bhp|,0.0,5/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
15,Triumph Speed Twin 1200,304 kg,0.0,5/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
16,Triumph Bonneville Speedmaster,765 cc|,0.0,4/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
17,Triumph Bonneville T100,128.2 bhp|,0.0,4.5/5,https://imgd.aeplcdn.com/0x0/statics/grey-16x9.svg
